City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,Dmytrivka,UA,2020-10-04 17:55:15,45.97,28.99,18.44,84,60,6.93
159,Killarney,IE,2020-10-04 17:55:15,52.05,-9.52,10.0,87,90,7.2
160,Saskylakh,RU,2020-10-04 17:55:15,71.92,114.08,-6.22,95,100,4.58
161,Freeport,US,2020-10-04 17:52:40,40.66,-73.58,20.56,48,75,3.6
162,Kaitangata,NZ,2020-10-04 17:55:15,-46.28,169.85,7.78,93,64,2.24
163,Pelym,RU,2020-10-04 17:55:15,61.01,62.0,0.07,92,100,2.51
164,Broome,US,2020-10-04 17:55:16,42.25,-75.83,16.11,62,90,2.1
165,Paithan,IN,2020-10-04 17:55:16,19.48,75.38,24.89,69,53,3.35
166,Byron Bay,AU,2020-10-04 17:55:16,-28.65,153.62,14.44,93,40,3.15
167,Batemans Bay,AU,2020-10-04 17:55:16,-35.72,150.18,16.11,87,56,0.45
168,Thompson,CA,2020-10-04 17:55:16,55.74,-97.86,6.0,93,90,3.6
169,Kirovskiy,RU,2020-10-04 17:55:16,45.09,133.51,5.71,90,100,1.19
170,Getulio Vargas,UY,2020-10-04 17:55:17,-32.68,-53.55,13.26,84,100,7.35
171,Turukhansk,RU,2020-10-04 17:55:17,65.82,87.98,1.75,96,100,4.39
172,Upernavik,GL,2020-10-04 17:55:17,72.79,-56.15,-3.19,87,87,1.79
173,Georgetown,MY,2020-10-04 17:55:17,5.41,100.34,27.0,88,20,1.4
174,Moindou,NC,2020-10-04 17:55:17,-21.69,165.68,17.0,93,75,0.5
175,Belmonte,BR,2020-10-04 17:55:17,-15.86,-38.88,28.0,61,40,6.7
176,Pevek,RU,2020-10-04 17:55:17,69.7,170.31,0.03,92,79,5.94
177,Pisco,PE,2020-10-04 17:55:17,-13.7,-76.22,18.0,72,25,4.6
178,Haines Junction,CA,2020-10-04 17:55:18,60.75,-137.51,5.06,73,100,1.19
179,Ambilobe,MG,2020-10-04 17:55:18,-13.2,49.05,24.15,77,83,1.32
180,Okhotsk,RU,2020-10-04 17:55:18,59.38,143.3,5.01,79,69,2.49
181,Pilar,BR,2020-10-04 17:55:18,-9.6,-35.96,29.0,62,40,5.7
182,Pahrump,US,2020-10-04 17:55:18,36.21,-115.98,28.0,4,1,2.3
183,Sines,PT,2020-10-04 17:55:18,37.96,-8.87,17.22,67,100,5.36
184,Garbolovo,RU,2020-10-04 17:55:19,60.34,30.5,12.78,67,100,5.68
185,East London,ZA,2020-10-04 17:55:19,-33.02,27.91,19.0,88,75,6.7
186,Manta,EC,2020-10-04 17:55:19,-0.95,-80.73,24.16,71,57,5.76
187,Acapulco,MX,2020-10-04 17:51:32,16.86,-99.89,31.0,70,75,2.41
188,Managua,NI,2020-10-04 17:50:50,12.13,-86.25,25.0,94,40,3.1
189,Maryville,US,2020-10-04 17:50:47,35.76,-83.97,21.67,55,40,3.27
190,Ampanihy,MG,2020-10-04 17:55:19,-24.7,44.75,18.23,71,91,6.64
